2006	03	08	CF	GA	2	2	CMC	GQ	10	1217	1383	+4	0	151	104
2006	03	11	GQ	GA	0	0	CMC		8	1146	1375	+2	−1	165	105
2006	03	14	TD	GA	2	2	CMC	GQ	4	1314	1371	+3	−2	126	107
2006	08	15	GA	DZ	2	0	F	FR	17	1388	1395	+3	−1	105	103
2006	09	02	GA	MG	4	0	FQ		11	1399	1180	+4	−5	101	164
2006	10	08	CI	GA	5	0	FQ		5	1761	1394	+1	−3	29	106
2006	11	15	MA	GA	6	0	F		5	1660	1389	0	−1	48	105
2007	03	07	CG	GA	2	2	CMC	TD	1	1379	1388	−1	0	108	105
2007	03	09	GQ	GA	1	1	CMC	TD	11	1183	1377	+5	−3	162	108
2007	03	11	TD	GA	1	2	CMC		-21	1280	1398	−5	+5	135	103
2007	03	16	CG	GA	1	0	CMC	TD	20	1418	1378	+1	−4	102	107
2007	06	12	RE	GA	0	3	F		-17	1247	1395	−3	+2	143	106
2007	06	17	MG	GA	0	2	FQ		-22	1179	1417	−7	+5	163	101
2007	08	21	BJ	GA	2	2	F	FR	2	1331	1415	0	−1	123	102
2007	09	08	GA	CI	0	0	FQ		13	1428	1773	+2	−4	99	29
2008	03	25	CD	GA	0	0	F	FR	-1	1448	1429	0	0	94	100
2008	06	07	LY	GA	1	0	WQA		10	1523	1419	+2	−1	80	101
2008	06	14	GA	GH	2	0	WQA		50	1469	1739	+8	−10	94	34
2008	06	22	GH	GA	2	0	WQA		6	1745	1463	+1	0	34	93
2008	06	28	GA	LS	2	0	WQA		5	1468	1138	+1	0	92	172
2008	08	19	GA	ML	1	0	F	FR	13	1481	1554	+1	−1	92	67
2008	09	07	GA	LS	3	0	WQA	ZA	9	1490	1129	+1	0	89	172
2008	10	11	GA	LY	1	0	WQA		18	1508	1545	+3	−5	85	73
2008	11	18	GA	GN	3	3	F	FR	2	1510	1577	0	−2	89	64
2009	03	28	MA	GA	1	2	WQA		-32	1631	1542	−6	+9	52	75
2009	06	06	GA	TG	3	0	WQA		19	1561	1453	+5	−6	69	95
2009	08	11	BJ	GA	1	1	F	FR	4	1399	1557	0	0	108	68
2009	09	05	GA	CM	0	2	WQA		-25	1532	1741	−10	+5	79	36
2009	09	09	CM	GA	2	1	WQA		6	1747	1526	+2	−2	33	81
2009	10	10	GA	MA	3	1	WQA		30	1556	1594	+14	−4	68	58
2009	11	14	TG	GA	1	0	WQA		21	1461	1535	+5	−8	93	78
2010	01	03	GA	MZ	1	0	F	ZA	7	1542	1416	+3	−2	78	108
2010	01	06	GA	MZ	2	0	F	ZA	10	1552	1406	+5	−1	73	109
2010	01	13	GA	CM	1	0	AR	AO	39	1591	1737	+12	−11	60	35
2010	01	17	GA	TN	0	0	AR	AO	1	1592	1598	0	0	60	59
2010	01	21	ZM	GA	2	1	AR	AO	30	1547	1562	+9	−10	76	69
2010	05	19	GA	TG	3	0	COR	FR	19	1581	1442	+5	−7	66	99
2010	08	11	DZ	GA	1	2	F		-12	1523	1593	−2	+6	83	62
2010	09	05	BF	GA	1	1	F	FR	3	1477	1590	+1	−1	91	60
2010	10	08	OM	GA	1	0	F		8	1561	1582	+3	−3	73	66
2010	10	12	SA	GA	1	0	F	TR	7	1685	1575	0	−1	41	67
2010	11	17	SN	GA	2	1	F	FR	10	1578	1565	+6	−5	64	71
